Year,Month,TMax,TMin,Frost,Rainfall,Sunshine,Status
1963,12,N/A,N/A,N/A,25.5,59.4,Confirmed
1964,1,N/A,N/A,N/A,17.9,51.2,Confirmed
1964,2,N/A,N/A,N/A,31.8,69.1,Confirmed
1964,3,N/A,N/A,N/A,47.7,103.3,Confirmed
1964,4,N/A,N/A,N/A,34.5,148.9,Confirmed
1964,5,N/A,N/A,N/A,66.8,179.0,Confirmed
1964,6,N/A,N/A,N/A,37.0,176.0,Confirmed
1964,7,N/A,N/A,N/A,39.9,195.5,Confirmed
1964,8,N/A,N/A,N/A,39.2,192.4,Confirmed
1964,9,N/A,N/A,N/A,36.7,180.3,Confirmed
1964,10,N/A,N/A,N/A,91.4,113.8,Confirmed
1964,11,N/A,N/A,N/A,62.7,73.0,Confirmed
1964,12,N/A,N/A,N/A,68.2,56.9,Confirmed
1965,1,N/A,N/A,N/A,106.9,58.9,Confirmed
1965,2,N/A,N/A,N/A,2.4,55.0,Confirmed
1965,3,N/A,N/A,N/A,64.8,150.7,Confirmed
1965,4,N/A,N/A,N/A,55.3,189.2,Confirmed
1965,5,N/A,N/A,N/A,51.5,181.3,Confirmed
1965,6,N/A,N/A,N/A,61.0,193.3,Confirmed
1965,7,N/A,N/A,N/A,123.5,175.2,Confirmed
1965,8,N/A,N/A,N/A,66.7,188.8,Confirmed
1965,9,N/A,N/A,N/A,90.8,119.2,Confirmed
1965,10,N/A,N/A,N/A,24.7,147.7,Confirmed
1965,11,N/A,N/A,N/A,109.2,65.5,Confirmed
1965,12,N/A,N/A,N/A,138.0,51.9,Confirmed
1966,1,N/A,N/A,N/A,63.6,40.8,Confirmed
1966,2,N/A,N/A,N/A,80.7,47.8,Confirmed
1966,3,N/A,N/A,N/A,30.4,142.3,Confirmed
1966,4,N/A,N/A,N/A,127.1,111.4,Confirmed
1966,5,N/A,N/A,N/A,59.8,242.9,Confirmed
1966,6,N/A,N/A,N/A,79.3,186.8,Confirmed
1966,7,N/A,N/A,N/A,40.4,196.2,Confirmed
1966,8,N/A,N/A,N/A,106.7,199.8,Confirmed
1966,9,N/A,N/A,N/A,35.5,169.1,Confirmed
1966,10,N/A,N/A,N/A,120.1,111.1,Confirmed
1966,11,N/A,N/A,N/A,66.2,69.6,Confirmed
1966,12,N/A,N/A,N/A,89.4,36.9,Confirmed
1967,1,N/A,N/A,N/A,56.4,55.5,Confirmed
1967,2,N/A,N/A,N/A,85.1,98.0,Confirmed
1967,3,N/A,N/A,N/A,46.2,157.7,Confirmed
1967,4,N/A,N/A,N/A,29.0,153.9,Confirmed
1967,5,N/A,N/A,N/A,89.9,177.1,Confirmed
1967,6,N/A,N/A,N/A,12.3,225.6,Confirmed
1967,7,N/A,N/A,N/A,49.3,178.1,Confirmed
1967,8,N/A,N/A,N/A,59.8,175.7,Confirmed
1967,9,N/A,N/A,N/A,109.9,153.9,Confirmed
1967,10,N/A,N/A,N/A,171.0,74.9,Confirmed
1967,11,N/A,N/A,N/A,77.0,77.2,Confirmed
1967,12,N/A,N/A,N/A,84.0,48.0,Confirmed
1968,1,N/A,N/A,N/A,87.1,30.6,Confirmed
1968,2,N/A,N/A,N/A,38.7,91.3,Confirmed
1968,3,N/A,N/A,N/A,42.6,142.9,Confirmed
1968,4,N/A,N/A,N/A,64.6,177.7,Confirmed
1968,5,N/A,N/A,N/A,50.6,186.5,Confirmed
1968,6,N/A,N/A,N/A,122.4,201.3,Confirmed
1968,7,N/A,N/A,N/A,119.9,246.1,Confirmed
1968,8,N/A,N/A,N/A,37.8,178.2,Confirmed
1968,9,N/A,N/A,N/A,89.6,129.8,Confirmed
1968,10,N/A,N/A,N/A,88.8,43.5,Confirmed
1968,11,N/A,N/A,N/A,58.9,57.9,Confirmed
1968,12,N/A,N/A,N/A,119.4,51.3,Confirmed
1969,1,N/A,N/A,N/A,136.3,40.4,Confirmed
1969,2,N/A,N/A,N/A,54.4,60.3,Confirmed
1969,3,N/A,N/A,N/A,59.3,100.2,Confirmed
1969,4,N/A,N/A,N/A,45.5,223.2,Confirmed
1969,5,N/A,N/A,N/A,125.4,164.0,Confirmed
1969,6,N/A,N/A,N/A,34.6,262.8,Confirmed
1969,7,N/A,N/A,N/A,80.3,N/A,Confirmed
1969,8,N/A,N/A,N/A,62.7,183.4,Confirmed
1969,9,N/A,N/A,N/A,60.4,105.9,Confirmed
1969,10,N/A,N/A,N/A,15.0,126.1,Confirmed
1969,11,N/A,N/A,N/A,146.1,69.9,Confirmed
1969,12,N/A,N/A,N/A,94.6,42.0,Confirmed
1970,1,N/A,N/A,N/A,94.4,52.3,Confirmed
1970,2,N/A,N/A,N/A,102.2,91.4,Confirmed
1970,3,N/A,N/A,N/A,58.2,114.3,Confirmed
1970,4,N/A,N/A,N/A,58.2,154.4,Confirmed
1970,5,N/A,N/A,N/A,29.3,193.8,Confirmed
1970,6,N/A,N/A,N/A,35.3,219.7,Confirmed
1970,7,N/A,N/A,N/A,72.5,179.1,Confirmed
1970,8,N/A,N/A,N/A,75.2,162.0,Confirmed
1970,9,N/A,N/A,N/A,72.0,126.6,Confirmed
1970,10,N/A,N/A,N/A,68.9,77.5,Confirmed
1970,11,N/A,N/A,N/A,194.0,44.9,Confirmed
1970,12,N/A,N/A,N/A,56.8,65.4,Confirmed
1971,1,N/A,N/A,N/A,163.2,N/A,Confirmed
1971,2,N/A,N/A,N/A,32.3,N/A,Confirmed
1971,3,N/A,N/A,N/A,71.9,N/A,Confirmed
1971,4,N/A,N/A,N/A,45.5,N/A,Confirmed
1971,5,N/A,N/A,N/A,43.3,N/A,Confirmed
1971,6,N/A,N/A,N/A,97.1,N/A,Confirmed
1971,7,N/A,N/A,N/A,29.0,N/A,Confirmed
1971,8,N/A,N/A,N/A,87.9,N/A,Confirmed
1971,9,N/A,N/A,N/A,25.5,N/A,Confirmed
1971,10,N/A,N/A,N/A,74.6,N/A,Confirmed
1971,11,N/A,N/A,N/A,107.1,N/A,Confirmed
1971,12,N/A,N/A,N/A,45.3,N/A,Confirmed
1972,1,N/A,N/A,N/A,90.6,N/A,Confirmed
1972,2,N/A,N/A,N/A,102.4,N/A,Confirmed
1972,3,N/A,N/A,N/A,43.9,N/A,Confirmed
1972,4,N/A,N/A,N/A,57.9,N/A,Confirmed
1972,5,N/A,N/A,N/A,64.9,N/A,Confirmed
1972,6,N/A,N/A,N/A,86.0,N/A,Confirmed
1972,7,N/A,N/A,N/A,52.2,N/A,Confirmed
1972,8,N/A,N/A,N/A,21.4,N/A,Confirmed
1972,9,N/A,N/A,N/A,45.2,N/A,Confirmed
1972,10,N/A,N/A,N/A,45.6,N/A,Confirmed
1972,11,N/A,N/A,N/A,116.9,N/A,Confirmed
1972,12,N/A,N/A,N/A,135.0,N/A,Confirmed
1973,1,N/A,N/A,N/A,58.5,N/A,Confirmed
1973,2,N/A,N/A,N/A,55.8,N/A,Confirmed
1973,3,N/A,N/A,N/A,18.8,N/A,Confirmed
1973,4,N/A,N/A,N/A,47.5,N/A,Confirmed
1973,5,N/A,N/A,N/A,64.3,N/A,Confirmed
1973,6,N/A,N/A,N/A,25.9,N/A,Confirmed
1973,7,N/A,N/A,N/A,73.0,N/A,Confirmed
1973,8,N/A,N/A,N/A,75.1,N/A,Confirmed
1973,9,N/A,N/A,N/A,74.6,N/A,Confirmed
1973,10,N/A,N/A,N/A,43.3,N/A,Confirmed
1973,11,N/A,N/A,N/A,83.9,N/A,Confirmed
1973,12,N/A,N/A,N/A,72.1,N/A,Confirmed
1974,1,N/A,N/A,N/A,124.8,N/A,Confirmed
1974,2,N/A,N/A,N/A,121.6,N/A,Confirmed
1974,3,N/A,N/A,N/A,47.2,N/A,Confirmed
1974,4,N/A,N/A,N/A,20.5,N/A,Confirmed
1974,5,N/A,N/A,N/A,39.0,N/A,Confirmed
1974,6,N/A,N/A,N/A,61.2,N/A,Confirmed
1974,7,N/A,N/A,N/A,48.5,N/A,Confirmed
1974,8,N/A,N/A,N/A,115.6,N/A,Confirmed
1974,9,N/A,N/A,N/A,N/A,N/A,Confirmed
1974,10,N/A,N/A,N/A,N/A,N/A,Confirmed
1974,11,N/A,N/A,N/A,N/A,N/A,Confirmed
1974,12,N/A,N/A,N/A,N/A,N/A,Confirmed
1980,1,N/A,N/A,N/A,N/A,N/A,Confirmed
1980,2,N/A,N/A,N/A,N/A,N/A,Confirmed
1980,3,N/A,N/A,N/A,N/A,N/A,Confirmed
1980,4,N/A,N/A,N/A,N/A,N/A,Confirmed
1980,5,N/A,N/A,N/A,N/A,N/A,Confirmed
1980,6,N/A,N/A,N/A,N/A,N/A,Confirmed
1980,7,N/A,N/A,N/A,N/A,N/A,Confirmed
1980,8,N/A,N/A,N/A,58.0,N/A,Confirmed
1980,9,N/A,N/A,N/A,102.2,N/A,Confirmed
1980,10,N/A,N/A,N/A,133.5,N/A,Confirmed
1980,11,N/A,N/A,N/A,85.5,N/A,Confirmed
1980,12,N/A,N/A,N/A,66.8,N/A,Confirmed
1981,1,N/A,N/A,N/A,52.7,N/A,Confirmed
1981,2,N/A,N/A,N/A,35.9,N/A,Confirmed
1981,3,N/A,N/A,N/A,128.3,N/A,Confirmed
1981,4,N/A,N/A,N/A,56.9,N/A,Confirmed
1981,5,N/A,N/A,N/A,97.5,N/A,Confirmed
1981,6,N/A,N/A,N/A,29.3,N/A,Confirmed
1981,7,N/A,N/A,N/A,62.4,N/A,Confirmed
1981,8,N/A,N/A,N/A,19.9,N/A,Confirmed
1981,9,N/A,N/A,N/A,139.7,N/A,Confirmed
1981,10,N/A,N/A,N/A,178.8,N/A,Confirmed
1981,11,N/A,N/A,N/A,44.1,N/A,Confirmed
1981,12,N/A,N/A,N/A,108.2,N/A,Confirmed
1982,1,N/A,N/A,N/A,97.2,N/A,Confirmed
1982,2,N/A,N/A,N/A,63.8,N/A,Confirmed
1982,3,N/A,N/A,N/A,94.1,N/A,Confirmed
1982,4,N/A,N/A,N/A,20.4,N/A,Confirmed
1982,5,N/A,N/A,N/A,27.5,N/A,Confirmed
1982,6,N/A,N/A,N/A,93.3,N/A,Confirmed
1982,7,N/A,N/A,N/A,45.1,N/A,Confirmed
1982,8,N/A,N/A,N/A,60.1,N/A,Confirmed
1982,9,N/A,N/A,N/A,68.1,N/A,Confirmed
1982,10,N/A,N/A,N/A,112.8,N/A,Confirmed
1982,11,N/A,N/A,N/A,140.6,N/A,Confirmed
1982,12,N/A,N/A,N/A,147.6,N/A,Confirmed
1983,1,N/A,N/A,N/A,117.1,N/A,Confirmed
1983,2,N/A,N/A,N/A,23.5,N/A,Confirmed
1983,3,N/A,N/A,N/A,53.1,N/A,Confirmed
1983,4,N/A,N/A,N/A,74.3,N/A,Confirmed
1983,5,N/A,N/A,N/A,111.5,N/A,Confirmed
1983,6,N/A,N/A,N/A,34.0,N/A,Confirmed
1983,7,N/A,N/A,N/A,18.4,N/A,Confirmed
1983,8,N/A,N/A,N/A,68.3,N/A,Confirmed
1983,9,N/A,N/A,N/A,93.3,N/A,Confirmed
1983,10,N/A,N/A,N/A,84.5,N/A,Confirmed
1983,11,N/A,N/A,N/A,46.7,N/A,Confirmed
1983,12,N/A,N/A,N/A,108.2,N/A,Confirmed
1984,1,N/A,N/A,N/A,132.2,N/A,Confirmed
1984,2,N/A,N/A,N/A,59.2,N/A,Confirmed
1984,3,N/A,N/A,N/A,28.4,N/A,Confirmed
1984,4,N/A,N/A,N/A,4.9,N/A,Confirmed
1984,5,N/A,N/A,N/A,47.8,N/A,Confirmed
1984,6,N/A,N/A,N/A,26.5,N/A,Confirmed
1984,7,N/A,N/A,N/A,15.6,N/A,Confirmed
1984,8,N/A,N/A,N/A,54.7,N/A,Confirmed
1984,9,N/A,N/A,N/A,141.0,N/A,Confirmed
1984,10,N/A,N/A,N/A,90.7,N/A,Confirmed
1984,11,N/A,N/A,N/A,164.0,N/A,Confirmed
1984,12,N/A,N/A,N/A,113.3,N/A,Confirmed
1985,1,N/A,N/A,N/A,67.7,N/A,Confirmed
1985,2,N/A,N/A,N/A,35.8,N/A,Confirmed
1985,3,N/A,N/A,N/A,64.1,N/A,Confirmed
1985,4,N/A,N/A,N/A,80.2,N/A,Confirmed
1985,5,N/A,N/A,N/A,52.6,N/A,Confirmed
1985,6,N/A,N/A,N/A,95.7,N/A,Confirmed
1985,7,N/A,N/A,N/A,50.6,N/A,Confirmed
1985,8,N/A,N/A,N/A,134.0,N/A,Confirmed
1985,9,N/A,N/A,N/A,60.8,N/A,Confirmed
1985,10,N/A,N/A,N/A,54.6,N/A,Confirmed
1985,11,N/A,N/A,N/A,52.5,N/A,Confirmed
1985,12,N/A,N/A,N/A,114.7,N/A,Confirmed
1986,1,N/A,N/A,N/A,83.8,N/A,Confirmed
1986,2,N/A,N/A,N/A,1.1,N/A,Confirmed
1986,3,N/A,N/A,N/A,56.2,N/A,Confirmed
1986,4,9.6,3.6,1,76.3,N/A,Confirmed
1986,5,14.8,7.9,0,53.4,N/A,Confirmed
1986,6,19.1,11.2,0,84.6,N/A,Confirmed
1986,7,18.9,12.6,0,38.6,N/A,Confirmed
1986,8,17.3,11.1,0,146.5,N/A,Confirmed
1986,9,16.1,8.1,0,22.8,N/A,Confirmed
1986,10,15.6,9.0,0,98.5,N/A,Confirmed
1986,11,12.2,5.4,2,120.3,N/A,Confirmed
1986,12,10.9,5.0,0,141.7,N/A,Confirmed
1987,1,5.0,0.3,13,19.1,N/A,Confirmed
1987,2,8.2,2.2,8,61.7,N/A,Confirmed
1987,3,9.1,2.8,7,86.1,N/A,Confirmed
1987,4,14.9,6.5,0,50.9,N/A,Confirmed
1987,5,15.1,7.2,0,45.9,N/A,Confirmed
1987,6,16.7,10.4,0,71.1,N/A,Confirmed
1987,7,20.4,12.7,0,38.6,N/A,Confirmed
1987,8,20.4,12.6,0,38.7,N/A,Confirmed
1987,9,18.5,10.9,0,65.7,N/A,Confirmed
1987,10,14.4,7.6,1,164.1,N/A,Confirmed
1987,11,11.0,5.2,3,108.1,N/A,Confirmed
1987,12,9.4,4.9,3,57.9,N/A,Confirmed
1988,1,10.2,4.6,2,159.0,N/A,Confirmed
1988,2,9.5,3.2,2,71.5,N/A,Confirmed
1988,3,10.3,5.4,2,100.7,N/A,Confirmed
1988,4,13.4,5.0,2,37.3,N/A,Confirmed
1988,5,16.3,7.7,0,51.8,N/A,Confirmed
1988,6,19.6,11.5,0,74.6,N/A,Confirmed
1988,7,17.7,12.2,0,117.7,N/A,Confirmed
1988,8,19.0,12.0,0,98.3,N/A,Confirmed
1988,9,17.3,11.2,0,54.8,N/A,Confirmed
1988,10,15.0,8.7,0,94.1,N/A,Confirmed
1988,11,11.4,3.7,5,47.3,N/A,Confirmed
1988,12,10.9,6.8,2,56.4,N/A,Confirmed
1989,1,10.4,4.2,5,40.3,N/A,Confirmed
1989,2,10.6,3.8,2,97.8,N/A,Confirmed
1989,3,11.6,5.0,1,80.1,N/A,Confirmed
1989,4,11.4,3.0,2,67.2,N/A,Confirmed
1989,5,19.6,9.5,0,10.8,N/A,Confirmed
1989,6,19.9,10.4,0,36.2,N/A,Confirmed
1989,7,23.1,14.0,0,36.6,N/A,Confirmed
1989,8,21.4,13.0,0,50.9,N/A,Confirmed
1989,9,19.3,11.4,0,119.7,N/A,Confirmed
1989,10,16.2,10.3,0,113.4,N/A,Confirmed
1989,11,11.7,5.3,6,69.8,N/A,Confirmed
1989,12,9.7,2.8,8,140.0,N/A,Confirmed
1990,1,10.9,5.2,0,132.9,N/A,Confirmed
1990,2,11.8,5.6,0,141.9,N/A,Confirmed
1990,3,12.4,5.6,2,19.9,N/A,Confirmed
1990,4,13.2,4.4,4,45.7,N/A,Confirmed
1990,5,18.9,8.6,0,32.1,N/A,Confirmed
1990,6,17.4,10.6,0,59.7,N/A,Confirmed
1990,7,22.6,12.6,0,35.2,N/A,Confirmed
1990,8,21.9,14.3,0,59.8,N/A,Confirmed
1990,9,18.3,9.7,0,77.8,N/A,Confirmed
1990,10,16.1,10.2,0,135.2,N/A,Confirmed
1990,11,11.2,5.3,2,74.2,N/A,Confirmed
1990,12,8.7,2.6,6,110.4,N/A,Confirmed
1991,1,7.7,1.8,9,119.8,N/A,Confirmed
1991,2,6.8,-1.1,17,54.5,N/A,Confirmed
1991,3,11.9,5.3,2,65.4,N/A,Confirmed
1991,4,12.6,4.7,1,99.7,N/A,Confirmed
1991,5,15.4,8.4,0,8.7,N/A,Confirmed
1991,6,16.5,9.6,0,107.8,N/A,Confirmed
1991,7,20.3,13.5,0,65.9,N/A,Confirmed
1991,8,21.0,12.8,0,21.8,N/A,Confirmed
1991,9,20.4,11.4,0,83.6,N/A,Confirmed
1991,10,14.3,7.9,0,96.0,N/A,Confirmed
1991,11,11.1,5.2,2,91.8,N/A,Confirmed
1991,12,9.0,3.6,4,39.3,N/A,Confirmed
1992,1,7.8,1.1,16,51.4,N/A,Confirmed
1992,2,9.8,3.3,5,45.9,N/A,Confirmed
1992,3,11.0,5.4,1,50.3,N/A,Confirmed
1992,4,12.8,5.6,1,65.4,N/A,Confirmed
1992,5,18.6,9.2,0,30.0,N/A,Confirmed
1992,6,21.0,11.0,0,21.1,N/A,Confirmed
1992,7,20.4,13.3,0,95.0,N/A,Confirmed
1992,8,19.0,12.3,0,127.7,N/A,Confirmed
1992,9,17.3,10.8,0,55.0,N/A,Confirmed
1992,10,12.4,6.1,2,103.3,N/A,Confirmed
1992,11,12.3,6.1,1,148.8,N/A,Confirmed
1992,12,8.4,3.1,8,68.7,N/A,Confirmed
1993,1,10.7,4.7,3,119.6,N/A,Confirmed
1993,2,8.5,4.0,1,14.8,N/A,Confirmed
1993,3,11.0,3.8,6,21.2,N/A,Confirmed
